2022,11.5
2021,11.6
2020,11.5
2019,10.5
2018,11.8
2017,12.3
2017,12.3
2016,12.7
2015,13.5
2014,14.8
2013,14.8
2013,14.5
2012,15.0
2011,15.0
2010,15.1
2009,14.3
2008,13.2
2007,12.5
2006,12.3
2005,12.6
2004,12.7
2003,12.5
2002,12.1
2001,11.7
2000,11.3
1999,11.9
1998,12.7
1997,13.3
1996,13.7
1995,13.8
1994,14.5
1993,15.1
1992,14.8
1991,14.2
1990,13.5
1989,12.8
1988,13.0
1987,13.4
1986,13.6
1985,14.0
1984,14.4
1983,15.2
1982,15.0
1981,14.0
1980,13.0
1979,11.7
1978,11.4
1977,11.6
1976,11.8
1975,12.3
1974,11.2
1973,11.1
1972,11.9
1971,12.5
1970,12.6
1969,12.1
1968,12.8
1967,14.2
1966,14.7
1965,17.3
1964,19.0
1963,19.5
1962,21.0
1961,21.9
1960,22.2
1959,22.4
